1000 5000
101 745 42
273 810 7
339 685 36
910 894 36
260 246 39
124 486 43
548 766 48
434 499 13
16 971 28
164 406 38
410 507 34
305 133 44
712 472 31
500 735 26
188 995 24
127 471 10
323 20 26
73 806 25
286 822 49
366 338 5
606 100 14
592 405 47
389 469 22
870 321 7
246 509 4
220 989 25
32 664 47
259 737 5
984 375 29
33 93 17
840 699 20
155 292 25
602 33 47
226 903 18
233 502 30
939 74 19
117 107 35
314 366 22
22 702 49
551 88 42
771 928 41
91 435 35
168 38 18
715 264 22
936 850 26
666 141 0
737 258 7
472 925 25
944 947 28
143 850 16
435 621 46
778 712 32
414 881 22
434 948 38
358 884 40
784 902 32
285 639 42
244 111 17
570 407 16
598 902 17
66 689 40
814 468 3
646 234 36
220 668 36
59 27 23
451 163 25
633 448 15
426 693 26
495 263 34
864 213 38
731 279 28
571 445 46
476 444 30
614 664 0
53 75 29
376 527 43
953 512 43
818 290 36
147 786 1
883 650 14
521 733 45
849 656 43
645 485 37
27 451 1
430 504 29
211 232 8
804 186 20
550 4 11
636 503 49
690 386 1
956 908 36
854 109 44
197 107 29
984 486 33
787 916 39
18 128 22
776 284 8
47 834 14
960 823 20
11 865 6
64 821 16
202 27 26
996 576 35
628 912 21
711 700 40
2 70 20
174 847 4
884 246 41
951 206 16
521 569 31
829 633 4
46 835 32
724 183 8
509 811 21
132 874 23
672 877 43
692 403 42
997 288 38
840 591 44
506 112 15
389 941 48
93 339 35
177 415 19
486 276 32
59 409 7
684 81 36
27 126 39
922 475 27
710 315 18
57 173 32
972 562 26
873 7 17
608 185 33
879 23 11
314 82 20
271 766 4
809 145 30
398 67 5
628 778 22
448 187 45
381 159 9
959 384 16
876 345 1
209 224 24
171 538 6
893 161 24
49 970 22
979 721 41
736 349 21
808 797 8
405 530 18
564 489 2
731 366 47
82 927 24
809 450 14
617 696 28
192 745 0
616 725 21
107 813 22
729 974 20
537 379 2
857 296 42
562 27 8
259 461 37
885 270 38
402 240 34
80 432 29
80 400 6
154 507 22
576 236 46
148 774 27
251 631 23
195 193 0
505 805 14
742 42 36
782 444 26
518 524 10
0 957 10
206 111 18
930 39 6
276 188 30
354 791 14
727 338 9
480 843 16
46 585 9
882 720 3
311 238 30
171 238 39
784 797 0
904 727 41
260 4 31
391 710 24
857 789 12
516 269 5
685 315 43
544 550 13
199 861 3
731 32 42
220 168 41
172 72 18
516 333 24
47 76 36
722 933 26
734 801 45
942 486 13
87 382 13
600 934 24
55 17 8
749 238 27
240 762 1
459 278 34
385 678 10
22 400 45
448 486 47
495 780 35
858 867 20
123 819 6
897 875 23
408 624 13
87 865 26
838 676 6
923 413 34
435 435 36
881 235 25
480 731 5
917 941 23
737 65 44
195 962 19
319 722 46
32 809 13
860 648 39
967 923 2
103 358 40
640 239 25
367 719 6
522 637 48
897 726 15
444 922 27
513 593 2
911 625 11
174 838 11
113 157 34
818 612 43
310 604 34
685 971 6
144 846 43
544 743 21
9 539 45
788 53 38
290 964 16
954 491 4
265 604 13
500 774 25
445 84 30
629 122 1
885 266 47
130 162 43
454 171 32
699 311 37
538 602 4
706 908 45
712 173 1
875 25 28
2 470 14
382 100 36
86 337 4
635 468 16
280 922 39
465 973 1
54 863 5
608 569 13
5 281 38
359 508 14
839 863 34
403 245 36
90 683 24
746 671 44
213 951 18
554 768 43
855 823 7
462 783 28
977 141 12
666 500 20
380 339 33
916 94 31
905 184 16
879 931 37
25 496 41
445 50 9
838 258 32
95 72 16
274 50 7
86 68 9
758 800 0
294 716 44
427 973 31
243 852 14
731 229 12
522 674 12
81 513 22
816 608 45
334 234 47
993 672 15
152 431 15
354 77 33
298 504 7
131 747 11
895 830 41
859 704 17
522 138 30
146 954 41
843 640 27
590 633 0
405 137 33
372 491 10
408 141 16
417 625 15
630 872 46
73 732 0
191 606 40
173 752 46
764 596 36
294 186 19
144 944 6
129 668 49
839 428 43
405 845 18
70 828 42
918 901 24
471 92 30
161 618 33
158 734 31
794 28 17
416 172 13
174 653 34
776 492 12
871 249 10
591 672 38
183 942 39
508 413 34
438 927 4
473 437 38
104 583 17
274 351 41
739 526 45
873 654 39
436 525 41
196 116 13
136 299 7
977 807 23
911 598 0
815 71 39
806 528 22
473 154 26
16 893 2
861 767 6
903 203 31
194 751 47
509 239 48
766 216 6
789 480 6
91 647 29
182 453 7
857 278 11
883 295 5
787 508 24
993 411 29
76 605 30
275 466 21
773 233 37
431 374 19
687 818 17
367 352 22
574 209 1
288 92 48
895 879 6
269 224 18
198 652 25
230 927 42
501 701 27
340 484 3
660 172 23
979 539 26
751 465 35
154 105 30
852 0 11
59 269 38
29 467 40
956 49 18
350 550 21
977 891 5
683 903 29
206 882 20
82 633 38
520 788 43
402 992 46
163 51 17
501 432 35
844 389 36
762 739 37
85 69 30
892 752 33
872 310 15
94 745 0
782 617 40
928 19 33
74 534 36
841 388 19
428 232 10
65 346 1
604 431 20
34 675 24
719 547 35
934 994 32
486 776 49
827 704 18
512 130 4
600 972 42
769 752 26
31 817 22
33 421 5
455 807 31
630 526 30
467 812 24
49 299 1
600 478 7
818 342 38
274 942 12
767 64 14
843 95 34
266 480 7
823 936 15
704 918 43
485 385 6
611 786 7
514 386 37
122 556 29
212 830 21
274 949 37
440 793 35
424 411 15
182 586 3
99 291 21
542 128 8
798 739 46
57 254 34
794 728 42
873 940 23
247 566 24
36 6 17
921 431 30
639 965 17
292 64 10
216 606 40
876 757 29
675 166 35
859 961 15
952 186 5
227 785 23
451 822 30
821 743 13
953 734 28
672 379 42
34 595 0
524 823 9
106 498 26
941 710 37
857 14 25
64 241 11
838 44 33
618 865 28
533 171 13
61 843 44
5 878 39
907 402 14
567 860 15
745 802 27
884 11 41
209 75 34
672 265 28
605 235 46
986 768 17
101 829 12
595 186 42
36 94 47
652 13 7
767 758 9
944 642 22
135 203 48
271 876 15
100 833 1
146 819 19
715 272 1
479 867 37
122 255 33
519 908 46
776 675 4
188 972 48
610 459 4
460 731 30
576 831 13
927 329 35
398 396 7
699 875 27
187 997 32
120 868 40
67 997 18
123 185 40
174 147 49
428 960 32
910 888 15
225 815 46
360 565 42
120 265 20
747 452 17
981 924 38
124 343 35
942 819 20
84 993 19
685 773 29
18 683 17
533 908 34
730 621 0
322 741 15
494 840 19
664 173 43
702 297 39
737 591 8
309 675 1
380 361 26
60 379 9
979 264 19
714 994 40
366 669 33
283 163 25
652 827 49
297 881 48
286 618 40
94 279 15
247 660 28
173 720 7
782 51 22
4 765 18
494 483 37
430 766 3
205 770 32
506 68 14
105 706 34
295 801 14
512 400 24
91 574 46
400 708 47
974 712 15
543 559 48
132 341 17
237 898 37
170 405 7
984 510 14
768 157 17
184 669 17
908 112 43
56 513 2
256 487 16
221 30 27
21 515 20
588 752 19
278 922 24
35 258 36
499 27 43
116 211 14
486 472 27
429 528 40
433 136 27
502 357 10
481 731 25
802 671 27
21 949 0
997 985 10
483 836 37
126 305 1
790 791 25
919 220 5
209 6 42
339 508 1
499 989 32
174 791 6
953 164 5
655 161 42
616 644 31
955 122 36
506 265 27
233 184 49
489 746 7
881 85 15
982 584 7
167 110 48
23 415 15
180 71 26
675 39 23
6 994 45
642 853 12
421 86 49
772 927 45
130 808 30
347 143 16
554 310 28
905 685 43
420 865 16
448 892 7
121 898 4
269 892 7
681 665 45
630 438 23
325 920 31
457 619 26
173 174 38
703 431 23
649 203 41
17 651 33
425 773 32
179 42 26
138 723 42
183 706 32
508 31 4
642 841 23
918 14 49
857 70 32
480 719 35
673 88 37
407 865 10
391 44 4
267 534 27
161 718 35
845 226 17
449 220 8
25 139 24
774 996 46
659 828 17
394 854 6
781 261 21
293 4 18
847 623 2
477 785 22
812 630 1
179 432 21
739 457 10
666 583 8
662 242 39
730 637 43
886 770 6
259 64 12
677 911 35
630 388 22
4 201 5
605 732 37
427 824 44
739 490 29
48 152 24
889 882 11
584 120 33
540 380 47
852 409 11
139 391 49
212 396 2
267 1 35
754 780 11
50 520 1
281 920 3
755 809 38
218 393 10
452 285 42
749 489 4
662 628 45
612 840 41
466 107 45
53 213 25
464 615 47
365 897 19
771 652 28
411 871 23
171 323 10
16 424 49
270 87 30
915 51 20
309 517 30
56 923 45
583 387 11
631 753 8
950 876 10
431 287 33
656 810 8
519 826 33
870 448 22
850 716 23
23 25 42
655 81 15
500 664 5
313 647 10
23 950 36
386 733 25
619 389 35
528 908 14
213 131 14
985 981 30
160 4 5
204 11 38
820 512 5
527 177 2
987 201 2
323 587 35
298 206 27
435 86 37
751 299 18
516 636 2
996 796 8
854 1 20
792 173 34
99 700 11
702 39 12
606 362 49
244 12 8
623 447 44
262 199 44
33 67 30
785 63 29
893 269 32
13 414 7
997 513 9
511 567 48
873 174 10
175 770 24
683 745 21
629 7 22
875 40 39
406 177 5
437 71 24
469 436 38
378 786 4
987 297 21
635 522 47
997 697 17
371 732 14
544 362 24
269 589 14
708 995 42
915 784 15
392 605 1
282 983 37
686 970 36
658 957 9
155 954 8
775 677 43
139 222 5
215 491 46
980 551 42
274 819 28
639 211 34
792 845 17
380 532 40
968 190 47
727 697 4
536 472 33
429 964 7
36 179 48
232 511 2
776 137 23
105 776 36
391 921 31
308 653 13
548 621 5
746 349 5
602 237 29
135 18 43
243 406 25
193 990 38
47 767 26
720 224 4
956 615 27
390 275 30
355 824 2
511 922 1
716 876 40
745 11 8
91 606 16
968 800 6
708 199 25
586 920 49
593 228 16
520 970 44
101 326 18
303 189 42
206 257 20
698 354 31
208 445 40
124 765 40
30 826 39
56 412 11
657 5 42
226 878 12
70 979 40
90 634 29
32 840 36
202 538 41
735 98 38
875 222 6
167 252 32
659 660 46
70 670 2
414 896 30
729 966 11
369 56 45
199 440 37
637 994 27
78 729 25
669 957 47
25 124 1
207 783 12
505 206 32
809 972 30
991 701 46
152 71 4
947 622 44
934 259 38
811 338 19
138 359 26
335 384 3
137 943 36
951 448 44
435 258 17
815 249 18
161 754 41
915 53 13
461 988 23
649 151 13
918 290 22
497 977 8
200 114 1
38 417 1
83 852 11
452 667 11
170 180 17
664 447 20
427 908 10
802 909 12
867 180 4
939 677 33
99 229 0
850 267 17
754 702 22
915 154 41
678 677 22
195 341 21
766 120 32
676 923 43
90 790 23
146 82 2
180 181 31
680 384 1
597 138 3
71 53 10
213 732 37
887 927 28
360 693 48
742 722 23
386 812 14
561 959 48
414 139 29
847 171 13
548 120 1
304 192 7
214 405 39
801 292 18
81 652 14
481 747 36
805 485 0
271 46 9
819 460 0
548 660 21
14 208 42
617 512 36
274 78 41
15 879 35
36 312 39
750 794 38
538 599 23
138 222 20
50 41 32
452 941 42
26 307 1
720 925 15
606 199 44
897 567 25
184 603 38
475 353 32
514 243 33
37 733 5
607 135 48
990 588 41
32 614 49
635 686 24
103 292 25
297 541 42
74 725 47
812 200 2
344 714 45
179 104 31
236 711 16
334 53 4
726 438 20
777 425 6
401 528 0
928 177 41
23 252 18
720 64 19
123 761 35
120 940 41
851 177 5
718 863 8
524 941 48
297 718 24
755 471 2
506 400 30
149 423 32
518 495 48
439 970 9
426 91 2
518 294 31
673 364 44
233 889 36
232 538 6
8 293 28
312 151 30
442 301 5
176 819 0
327 610 21
886 36 14
738 554 10
119 579 25
716 165 16
254 397 4
510 757 49
590 69 1
70 864 2
325 392 23
428 719 33
501 606 21
17 696 28
827 168 7
354 884 22
770 490 21
76 0 28
28 591 0
779 13 14
183 691 8
758 119 28
943 620 36
164 989 32
292 816 2
0 171 38
224 293 28
198 722 29
576 750 22
728 881 37
744 64 28
153 174 49
281 117 21
367 281 10
501 574 27
156 926 0
694 502 45
723 700 19
752 629 19
76 357 2
413 102 16
794 255 42
293 888 9
765 607 41
577 460 17
854 616 43
6 311 45
804 34 48
323 138 27
593 566 34
447 331 38
14 125 45
458 771 33
668 888 42
159 465 3
576 672 21
271 30 32
468 834 18
366 158 8
893 103 24
130 550 6
468 916 33
414 375 4
599 43 42
392 554 10
997 482 32
218 105 12
103 573 47
21 292 7
430 537 10
756 667 12
62 136 29
846 902 6
752 853 49
547 245 5
807 594 37
91 165 42
53 268 17
202 641 9
509 423 47
271 180 16
936 594 4
165 440 6
473 545 10
824 92 7
729 251 4
468 342 19
960 395 37
729 950 28
791 811 4
390 435 34
656 371 28
411 888 21
419 361 16
281 185 10
389 266 11
443 734 3
14 46 0
501 775 0
981 918 12
885 308 49
969 317 20
0 728 10
471 499 21
839 781 8
299 522 24
10 317 8
63 331 4
863 184 31
966 165 0
880 403 8
229 724 25
949 724 5
261 547 7
582 386 38
792 685 12
916 695 31
126 110 14
30 974 48
61 292 15
11 172 18
622 401 45
549 702 19
205 963 17
64 897 3
704 689 41
866 605 38
49 731 49
563 113 25
613 526 17
828 890 39
799 512 42
846 413 44
265 970 9
584 34 6
938 738 45
681 956 2
119 5 35
668 568 0
895 533 26
414 714 18
753 865 30
197 711 46
991 976 16
100 561 1
458 851 41
505 884 48
509 3 3
244 24 24
796 919 7
875 334 23
843 439 38
676 637 49
922 980 28
490 433 41
741 891 42
435 397 26
733 906 31
388 503 5
612 299 27
722 526 13
545 370 2
234 46 41
985 320 22
713 810 5
354 904 48
846 339 45
574 72 4
306 460 7
413 425 8
440 499 35
153 44 7
658 630 3
799 616 23
273 329 35
180 684 39
979 882 28
526 809 2
980 467 15
289 880 40
250 673 39
737 178 35
594 836 16
849 988 32
424 613 11
809 146 47
99 125 32
79 3 41
132 984 8
997 625 40
639 875 15
780 612 44
965 558 32
781 407 22
565 831 36
679 993 32
476 92 9
508 171 14
701 655 0
9 4 26
902 643 3
467 423 18
563 741 26
496 522 34
120 440 17
6 119 10
390 947 4
251 808 28
116 509 33
316 871 38
494 773 33
548 592 9
566 156 0
142 4 24
478 124 14
998 483 33
158 225 33
763 477 41
243 945 0
26 613 21
166 108 46
302 8 41
861 574 47
161 68 3
335 899 27
950 897 10
35 407 38
68 522 15
261 765 12
612 144 25
185 662 35
884 964 43
175 825 19
974 986 40
777 674 39
704 976 38
467 363 45
455 784 20
272 45 35
386 657 31
113 195 44
949 79 8
144 254 36
266 580 24
456 357 48
545 413 26
235 232 40
980 39 24
952 663 19
338 49 29
571 163 26
115 464 5
976 960 11
662 226 41
38 682 0
89 579 13
115 814 46
857 147 35
31 99 49
603 789 0
184 361 15
312 828 31
167 156 42
980 170 18
373 209 3
123 298 34
286 413 49
34 623 48
822 6 49
273 609 41
773 145 4
141 457 32
972 976 41
764 308 11
135 681 20
540 804 18
524 443 34
675 829 7
973 651 13
75 276 25
966 402 22
922 543 32
706 515 10
647 632 19
759 119 2
79 659 9
50 183 4
434 859 33
793 184 37
158 611 13
485 929 15
958 851 8
592 558 26
202 205 8
473 964 27
426 396 38
535 446 21
791 232 32
524 25 19
261 535 30
627 21 12
42 331 13
353 923 21
179 477 29
989 951 43
918 729 39
506 616 37
629 407 19
612 283 46
483 897 32
965 524 5
377 918 38
641 271 11
814 802 40
193 143 43
889 61 22
980 567 40
518 197 47
639 161 33
786 644 30
820 961 4
227 339 22
965 332 46
978 146 0
820 340 44
614 581 7
488 561 25
979 431 24
228 71 37
761 209 31
543 381 42
497 608 33
722 925 15
218 903 12
220 75 4
14 689 37
222 530 48
349 509 30
25 89 1
862 203 12
695 746 43
489 596 1
623 318 26
440 888 31
404 460 6
60 827 48
297 401 28
96 750 39
678 127 30
331 989 33
193 36 32
436 525 30
287 500 48
415 941 38
798 697 48
256 758 25
756 55 28
434 503 28
325 181 7
306 512 48
841 705 34
123 141 12
353 780 14
253 547 7
393 697 5
994 306 13
421 62 20
250 849 24
180 174 5
238 480 18
636 322 25
423 797 17
735 503 49
899 108 49
357 502 46
512 496 2
777 269 15
97 519 14
921 700 40
279 938 21
797 926 45
724 349 42
793 84 47
643 336 6
392 693 8
190 557 6
943 334 25
110 431 47
126 705 47
316 984 37
339 133 15
684 857 17
179 651 1
176 646 39
634 38 34
594 228 41
402 523 27
480 633 9
77 111 16
726 428 0
665 119 35
530 804 42
97 335 45
101 863 41
792 850 31
177 444 12
118 847 35
746 327 21
157 404 34
625 482 14
77 147 34
662 29 40
456 479 25
902 580 40
345 372 40
179 901 35
241 20 34
178 118 13
749 275 19
136 252 1
950 329 48
884 991 29
974 799 8
751 701 40
744 399 13
234 578 14
521 171 36
7 349 4
820 451 31
389 587 33
440 537 14
990 422 5
570 748 5
980 852 8
971 596 9
686 182 39
302 56 10
939 63 10
45 884 13
779 273 0
764 66 37
79 408 11
736 978 12
193 311 14
704 282 12
613 968 44
805 270 0
815 561 16
527 607 0
690 738 25
792 502 43
432 933 2
493 670 32
7 215 43
373 919 27
335 885 45
832 690 16
384 857 29
0 737 36
852 427 26
330 220 29
873 652 14
177 497 34
812 857 2
757 230 21
985 918 8
180 102 0
998 486 8
378 487 45
716 691 24
793 21 46
724 247 0
588 776 0
475 588 7
577 346 39
950 331 9
209 863 11
509 862 48
19 240 37
266 308 28
293 101 2
539 177 49
790 766 25
242 241 16
551 818 12
90 768 45
252 329 8
163 191 20
913 210 12
150 477 23
431 770 26
733 661 4
634 803 20
311 45 13
577 596 33
541 39 3
188 291 33
347 454 24
719 368 36
684 870 15
957 301 37
683 386 49
587 372 2
609 36 0
224 965 46
9 507 37
563 47 28
798 394 35
224 114 3
860 798 25
326 107 29
913 790 17
514 730 40
567 691 26
369 916 41
415 277 0
853 840 48
933 638 44
468 214 10
723 75 8
849 753 17
628 666 8
497 533 40
387 100 31
665 821 49
909 236 27
659 441 19
809 727 10
354 195 24
364 919 49
525 120 2
792 100 21
202 597 4
342 337 6
526 2 29
977 911 15
354 923 9
924 84 36
484 790 33
610 155 4
460 32 24
414 176 26
387 731 24
893 73 11
851 951 15
630 929 27
998 283 2
159 559 36
47 395 27
130 6 34
485 818 18
311 232 44
238 972 25
762 865 1
975 69 2
190 699 31
669 49 17
423 208 28
910 255 24
539 386 32
323 223 0
843 886 34
187 124 6
615 238 24
468 213 43
920 756 44
654 777 44
23 201 2
951 463 10
627 2 48
309 677 21
809 520 7
894 59 34
302 674 22
576 142 38
271 415 46
666 421 25
462 444 26
114 395 39
726 375 43
724 684 20
297 846 42
757 92 2
341 394 28
515 323 23
255 594 38
751 612 11
377 74 5
555 541 2
197 619 27
840 344 14
513 641 10
705 398 2
309 91 46
588 607 21
361 862 16
901 966 30
862 695 7
267 250 0
771 799 19
299 992 15
863 505 7
273 562 7
127 872 49
23 812 6
595 173 20
113 74 36
595 936 31
504 555 34
954 326 33
376 977 25
141 192 32
548 817 47
706 944 21
307 320 33
163 267 6
233 380 32
622 327 18
705 832 25
39 138 1
525 514 31
650 8 23
985 556 41
882 614 35
3 921 5
936 436 24
394 22 6
926 644 34
746 349 18
121 741 6
174 266 23
205 268 31
429 605 39
822 487 6
159 842 29
817 130 16
741 524 40
398 802 34
382 548 35
550 21 28
208 196 44
381 753 15
914 182 20
4 356 10
60 516 4
389 333 35
507 74 9
647 472 14
431 206 12
269 108 36
847 317 32
44 50 37
861 965 22
283 969 28
545 381 44
650 770 27
885 278 4
996 277 26
910 61 35
725 330 43
561 529 12
945 925 13
82 138 30
106 422 49
135 967 32
679 969 4
909 854 32
213 203 12
341 113 23
676 190 3
120 103 34
232 400 12
747 483 0
227 589 22
28 76 42
210 756 11
515 17 18
449 230 21
661 571 36
934 248 27
889 720 30
374 952 31
136 700 16
36 927 7
711 956 36
705 518 42
668 33 11
486 483 41
507 496 14
346 431 12
23 320 32
155 46 37
688 534 37
56 923 16
366 634 24
752 691 43
894 359 26
405 846 11
498 705 8
162 51 41
427 426 11
411 934 10
348 622 44
337 31 17
254 397 3
830 149 44
573 395 4
702 152 2
665 650 7
773 164 11
16 591 37
580 355 23
190 703 48
334 393 29
754 999 26
159 829 25
904 755 22
360 457 24
662 474 26
669 600 40
432 616 34
622 196 39
745 386 44
843 73 39
972 179 38
850 338 18
877 242 25
299 954 34
873 616 8
449 638 8
542 70 25
578 44 23
969 790 10
63 985 35
255 310 14
93 160 4
0 1 13
1 2 38
2 3 49
3 4 38
4 5 37
5 6 3
6 7 22
7 8 13
8 9 20
9 10 33
10 11 14
11 12 10
12 13 41
13 14 6
14 15 32
15 16 18
16 17 36
17 18 27
18 19 42
19 20 5
20 21 19
21 22 4
22 23 21
23 24 4
24 25 39
25 26 26
26 27 16
27 28 5
28 29 19
29 30 27
30 31 9
31 32 35
32 33 17
33 34 8
34 35 23
35 36 6
36 37 12
37 38 48
38 39 19
39 40 34
40 41 31
41 42 36
42 43 46
43 44 22
44 45 44
45 46 28
46 47 43
47 48 31
48 49 7
49 50 35
50 51 36
51 52 26
52 53 39
53 54 9
54 55 33
55 56 28
56 57 35
57 58 49
58 59 35
59 60 7
60 61 28
61 62 44
62 63 42
63 64 45
64 65 3
65 66 17
66 67 4
67 68 17
68 69 15
69 70 25
70 71 3
71 72 48
72 73 11
73 74 49
74 75 23
75 76 6
76 77 27
77 78 16
78 79 37
79 80 35
80 81 3
81 82 25
82 83 13
83 84 42
84 85 35
85 86 46
86 87 22
87 88 22
88 89 48
89 90 7
90 91 31
91 92 28
92 93 1
93 94 23
94 95 24
95 96 6
96 97 43
97 98 30
98 99 25
99 100 10
100 101 5
101 102 28
102 103 9
103 104 17
104 105 27
105 106 34
106 107 23
107 108 5
108 109 0
109 110 12
110 111 42
111 112 3
112 113 37
113 114 7
114 115 47
115 116 24
116 117 4
117 118 19
118 119 47
119 120 4
120 121 28
121 122 28
122 123 32
123 124 31
124 125 4
125 126 8
126 127 40
127 128 49
128 129 38
129 130 15
130 131 9
131 132 46
132 133 44
133 134 20
134 135 13
135 136 21
136 137 4
137 138 38
138 139 28
139 140 6
140 141 2
141 142 20
142 143 11
143 144 39
144 145 28
145 146 8
146 147 16
147 148 34
148 149 29
149 150 15
150 151 40
151 152 9
152 153 43
153 154 22
154 155 41
155 156 49
156 157 33
157 158 31
158 159 0
159 160 23
160 161 46
161 162 10
162 163 19
163 164 40
164 165 32
165 166 32
166 167 14
167 168 39
168 169 22
169 170 42
170 171 45
171 172 24
172 173 15
173 174 9
174 175 16
175 176 45
176 177 17
177 178 32
178 179 31
179 180 49
180 181 47
181 182 21
182 183 8
183 184 42
184 185 45
185 186 1
186 187 44
187 188 28
188 189 32
189 190 44
190 191 2
191 192 31
192 193 6
193 194 21
194 195 23
195 196 41
196 197 6
197 198 37
198 199 30
199 200 30
200 201 30
201 202 27
202 203 5
203 204 45
204 205 36
205 206 23
206 207 42
207 208 6
208 209 5
209 210 23
210 211 7
211 212 4
212 213 44
213 214 15
214 215 46
215 216 41
216 217 19
217 218 40
218 219 20
219 220 1
220 221 37
221 222 24
222 223 34
223 224 43
224 225 45
225 226 8
226 227 34
227 228 3
228 229 45
229 230 16
230 231 34
231 232 27
232 233 44
233 234 41
234 235 24
235 236 32
236 237 14
237 238 16
238 239 40
239 240 21
240 241 39
241 242 47
242 243 25
243 244 35
244 245 15
245 246 21
246 247 27
247 248 34
248 249 14
249 250 49
250 251 37
251 252 1
252 253 23
253 254 22
254 255 46
255 256 20
256 257 32
257 258 31
258 259 24
259 260 27
260 261 49
261 262 10
262 263 5
263 264 43
264 265 1
265 266 31
266 267 26
267 268 17
268 269 48
269 270 18
270 271 38
271 272 39
272 273 16
273 274 13
274 275 25
275 276 31
276 277 36
277 278 4
278 279 17
279 280 0
280 281 3
281 282 4
282 283 3
283 284 26
284 285 28
285 286 2
286 287 46
287 288 10
288 289 35
289 290 22
290 291 38
291 292 34
292 293 34
293 294 45
294 295 28
295 296 35
296 297 28
297 298 6
298 299 4
299 300 26
300 301 24
301 302 42
302 303 16
303 304 42
304 305 7
305 306 43
306 307 25
307 308 44
308 309 49
309 310 42
310 311 46
311 312 2
312 313 47
313 314 0
314 315 30
315 316 27
316 317 2
317 318 28
318 319 38
319 320 37
320 321 1
321 322 28
322 323 23
323 324 35
324 325 23
325 326 1
326 327 23
327 328 3
328 329 9
329 330 29
330 331 30
331 332 36
332 333 22
333 334 48
334 335 28
335 336 29
336 337 43
337 338 4
338 339 25
339 340 42
340 341 48
341 342 22
342 343 46
343 344 45
344 345 24
345 346 26
346 347 23
347 348 28
348 349 4
349 350 13
350 351 17
351 352 7
352 353 41
353 354 40
354 355 45
355 356 16
356 357 42
357 358 20
358 359 19
359 360 3
360 361 49
361 362 1
362 363 39
363 364 21
364 365 49
365 366 20
366 367 3
367 368 44
368 369 26
369 370 28
370 371 36
371 372 24
372 373 2
373 374 32
374 375 22
375 376 26
376 377 10
377 378 47
378 379 4
379 380 15
380 381 10
381 382 21
382 383 24
383 384 1
384 385 12
385 386 19
386 387 19
387 388 6
388 389 39
389 390 38
390 391 9
391 392 41
392 393 40
393 394 1
394 395 12
395 396 41
396 397 23
397 398 17
398 399 36
399 400 49
400 401 48
401 402 22
402 403 25
403 404 0
404 405 7
405 406 47
406 407 27
407 408 17
408 409 46
409 410 31
410 411 34
411 412 6
412 413 3
413 414 11
414 415 9
415 416 17
416 417 30
417 418 28
418 419 23
419 420 22
420 421 19
421 422 34
422 423 13
423 424 9
424 425 37
425 426 27
426 427 0
427 428 10
428 429 47
429 430 38
430 431 11
431 432 45
432 433 13
433 434 37
434 435 45
435 436 20
436 437 36
437 438 22
438 439 39
439 440 33
440 441 6
441 442 26
442 443 41
443 444 11
444 445 37
445 446 1
446 447 28
447 448 19
448 449 31
449 450 1
450 451 41
451 452 0
452 453 37
453 454 6
454 455 11
455 456 25
456 457 36
457 458 14
458 459 37
459 460 33
460 461 2
461 462 49
462 463 28
463 464 15
464 465 38
465 466 23
466 467 37
467 468 26
468 469 48
469 470 27
470 471 9
471 472 4
472 473 3
473 474 3
474 475 15
475 476 40
476 477 6
477 478 45
478 479 9
479 480 37
480 481 48
481 482 3
482 483 40
483 484 35
484 485 11
485 486 3
486 487 10
487 488 47
488 489 17
489 490 0
490 491 30
491 492 20
492 493 49
493 494 8
494 495 37
495 496 37
496 497 34
497 498 25
498 499 13
499 500 32
500 501 2
501 502 25
502 503 38
503 504 7
504 505 30
505 506 5
506 507 49
507 508 36
508 509 0
509 510 10
510 511 25
511 512 48
512 513 15
513 514 17
514 515 35
515 516 27
516 517 21
517 518 48
518 519 24
519 520 38
520 521 48
521 522 5
522 523 10
523 524 49
524 525 15
525 526 48
526 527 38
527 528 49
528 529 23
529 530 3
530 531 33
531 532 27
532 533 28
533 534 21
534 535 36
535 536 8
536 537 28
537 538 35
538 539 46
539 540 30
540 541 47
541 542 22
542 543 30
543 544 13
544 545 39
545 546 16
546 547 40
547 548 12
548 549 14
549 550 14
550 551 1
551 552 14
552 553 21
553 554 13
554 555 13
555 556 37
556 557 11
557 558 1
558 559 38
559 560 36
560 561 4
561 562 22
562 563 15
563 564 35
564 565 45
565 566 1
566 567 45
567 568 26
568 569 38
569 570 42
570 571 6
571 572 36
572 573 16
573 574 37
574 575 49
575 576 7
576 577 3
577 578 39
578 579 20
579 580 19
580 581 5
581 582 23
582 583 35
583 584 29
584 585 36
585 586 48
586 587 18
587 588 0
588 589 1
589 590 6
590 591 38
591 592 5
592 593 30
593 594 6
594 595 42
595 596 28
596 597 9
597 598 38
598 599 4
599 600 48
600 601 32
601 602 10
602 603 34
603 604 0
604 605 47
605 606 35
606 607 7
607 608 2
608 609 26
609 610 29
610 611 23
611 612 33
612 613 2
613 614 8
614 615 12
615 616 41
616 617 6
617 618 30
618 619 41
619 620 9
620 621 39
621 622 31
622 623 17
623 624 19
624 625 37
625 626 9
626 627 47
627 628 47
628 629 49
629 630 3
630 631 45
631 632 33
632 633 14
633 634 31
634 635 33
635 636 13
636 637 18
637 638 43
638 639 16
639 640 46
640 641 24
641 642 39
642 643 29
643 644 29
644 645 0
645 646 44
646 647 20
647 648 8
648 649 24
649 650 13
650 651 18
651 652 15
652 653 44
653 654 35
654 655 35
655 656 34
656 657 46
657 658 34
658 659 31
659 660 46
660 661 38
661 662 28
662 663 31
